Fotograma,tipo_objeto,confianza,ID,x1,y1,x2,y2,Matricula,Confianza,mx1,my1,mx2,my2,texto_matricula
2237,car,0.69,1,1338,314,1425,378,Si,0,0,0,0,0,???
2237,car,0.69,2,1427,322,1512,382,Si,0,0,0,0,0,???
2237,car,0.63,3,1135,314,1196,358,Si,0,0,0,0,0,???
2238,car,0.73,1,1336,315,1426,379,Si,0,0,0,0,0,???
2238,car,0.7,2,1427,320,1513,381,Si,0,0,0,0,0,???
2239,car,0.79,1,1334,314,1424,379,Si,0,0,0,0,0,???
2239,car,0.71,2,1429,320,1513,381,Si,0,0,0,0,0,???
2240,car,0.8,1,1333,314,1424,379,Si,0,0,0,0,0,???
2240,car,0.71,2,1429,320,1513,381,Si,0,0,0,0,0,???
2241,car,0.77,1,1332,314,1422,379,Si,0,0,0,0,0,???
2241,car,0.7,2,1432,322,1513,382,Si,0,0,0,0,0,???
2242,car,0.8,1,1332,314,1422,378,Si,0,0,0,0,0,???
2242,car,0.69,2,1431,322,1513,382,Si,0,0,0,0,0,???
2242,car,0.61,3,1128,309,1192,359,Si,0,0,0,0,0,???
2243,car,0.79,1,1332,314,1417,376,Si,0,0,0,0,0,???
2243,car,0.69,2,1429,322,1512,382,Si,0,0,0,0,0,???
2243,car,0.62,3,1128,309,1192,359,Si,0,0,0,0,0,???
2244,car,0.76,1,1331,314,1416,377,Si,0,0,0,0,0,???
2244,car,0.68,2,1432,322,1513,382,Si,0,0,0,0,0,???
2245,car,0.79,1,1332,315,1413,375,Si,0,0,0,0,0,???
2245,car,0.69,2,1431,322,1513,382,Si,0,0,0,0,0,???
2246,car,0.78,1,1332,314,1414,374,Si,0,0,0,0,0,???
2246,car,0.68,2,1431,322,1513,382,Si,0,0,0,0,0,???
2247,car,0.74,1,1333,314,1409,374,Si,0,0,0,0,0,???
2247,car,0.7,2,1431,322,1513,382,Si,0,0,0,0,0,???
2248,car,0.73,1,1332,314,1408,374,Si,0,0,0,0,0,???
2248,car,0.7,2,1430,322,1513,382,Si,0,0,0,0,0,???
2248,car,0.62,3,1125,311,1193,361,Si,0,0,0,0,0,???
2249,car,0.73,1,1331,314,1405,373,Si,0,0,0,0,0,???
2249,car,0.7,2,1431,322,1513,382,Si,0,0,0,0,0,???
2250,car,0.75,1,1331,314,1403,373,Si,0,0,0,0,0,???
2250,car,0.7,2,1431,322,1513,382,Si,0,0,0,0,0,???
2250,car,0.61,3,1124,311,1192,361,Si,0,0,0,0,0,???
2251,car,0.73,1,1332,315,1400,372,Si,0,0,0,0,0,???
2251,car,0.69,2,1431,322,1513,382,Si,0,0,0,0,0,???
2251,car,0.65,3,1123,312,1191,361,Si,0,0,0,0,0,???
2252,car,0.75,1,1330,315,1400,372,Si,0,0,0,0,0,???
2252,car,0.69,2,1432,322,1513,382,Si,0,0,0,0,0,???
2252,car,0.65,3,1121,314,1189,361,Si,0,0,0,0,0,???
2253,car,0.74,1,1329,315,1399,372,Si,0,0,0,0,0,???
2253,car,0.69,2,1431,322,1513,382,Si,0,0,0,0,0,???
2254,car,0.72,1,1330,315,1399,371,Si,0,0,0,0,0,???
2254,car,0.69,2,1431,322,1513,382,Si,0,0,0,0,0,???
2254,car,0.67,3,1120,312,1190,361,Si,0,0,0,0,0,???
2255,car,0.72,1,1329,315,1399,371,Si,0,0,0,0,0,???
2255,car,0.7,2,1431,322,1513,382,Si,0,0,0,0,0,???
2255,car,0.68,3,1118,311,1190,362,Si,0,0,0,0,0,???
2256,car,0.73,1,1117,310,1189,362,Si,0,0,0,0,0,???
2256,car,0.71,2,1431,322,1513,382,Si,0,0,0,0,0,???
2256,car,0.7,3,1328,315,1397,371,Si,0,0,0,0,0,???
2257,car,0.73,1,1115,309,1188,363,Si,0,0,0,0,0,???
2257,car,0.71,2,1324,315,1395,371,Si,0,0,0,0,0,???
2257,car,0.7,3,1431,322,1512,382,Si,0,0,0,0,0,???
2258,car,0.77,1,1115,308,1187,363,Si,0,0,0,0,0,???
2258,car,0.73,2,1323,314,1394,371,Si,0,0,0,0,0,???
2258,car,0.7,3,1431,322,1512,382,Si,0,0,0,0,0,???
2259,car,0.12,1,1321,314,1394,370,Si,0.12,0,0,0,0,???
2259,car,0.73,2,1115,308,1187,362,Si,0,0,0,0,0,???
2259,car,0.7,3,1431,322,1512,382,Si,0,0,0,0,0,???
2260,car,0.76,1,1319,314,1393,370,Si,0,0,0,0,0,???
2260,car,0.72,2,1115,309,1185,362,Si,0,0,0,0,0,???
2260,car,0.71,3,1431,322,1512,382,Si,0,0,0,0,0,???
2261,car,0.77,1,1112,310,1184,362,Si,0,0,0,0,0,???
2261,car,0.77,2,1318,314,1392,370,Si,0,0,0,0,0,???
2261,car,0.7,3,1431,322,1513,382,Si,0,0,0,0,0,???
2262,car,0.78,1,1113,310,1182,363,Si,0,0,0,0,0,???
2262,car,0.77,2,1317,314,1391,370,Si,0,0,0,0,0,???
2262,car,0.7,3,1431,322,1513,382,Si,0,0,0,0,0,???
2263,car,0.78,1,1317,314,1391,370,Si,0,0,0,0,0,???
2263,car,0.75,2,1110,309,1181,363,Si,0,0,0,0,0,???
2263,car,0.71,3,1431,322,1512,382,Si,0,0,0,0,0,???
2264,car,0.78,1,1317,314,1390,370,Si,0,0,0,0,0,???
2264,car,0.74,2,1110,309,1179,364,Si,0,0,0,0,0,???
2264,car,0.71,3,1432,322,1513,382,Si,0,0,0,0,0,???
2265,car,0.77,1,1106,309,1178,365,Si,0,0,0,0,0,???
2265,car,0.76,2,1316,314,1391,370,Si,0,0,0,0,0,???
2265,car,0.71,3,1432,322,1512,382,Si,0,0,0,0,0,???
2266,car,0.77,1,1312,313,1390,370,Si,0,0,0,0,0,???
2266,car,0.75,2,1107,308,1178,365,Si,0,0,0,0,0,???
2266,car,0.7,3,1432,322,1512,382,Si,0,0,0,0,0,???
